,State,State Abbreviation,Education Level of Mother,Year,Number of Births,Total Births in State,Average Age of Mother (years),Political Party Governing
0,Alabama,AL,9th > 12th Grade,2016,7093,59151,24.0,R
1,Alabama,AL,> 8th Grade,2016,2240,59151,27.7,R
2,Alabama,AL,Associate Degree,2016,4687,59151,28.95,R
3,Alabama,AL,Bahcelor's Degree,2016,9098,59151,30.3,R
4,Alabama,AL,Doctorate,2016,998,59151,32.95,R
5,Alabama,AL,High School Grad,2016,18061,59151,25.3,R
6,Alabama,AL,Master's Degree,2016,3884,59151,32.1,R
7,Alabama,AL,Some College Credit,2016,12969,59151,26.7,R
8,Alabama,AL,Unknown,2016,121,59151,27.45,R
9,Alabama,AL,9th > 12th Grade,2017,6628,58941,24.15,R
10,Alabama,AL,> 8th Grade,2017,1990,58941,27.6,R
11,Alabama,AL,Associate Degree,2017,4857,58941,28.9,R
12,Alabama,AL,Bahcelor's Degree,2017,8959,58941,30.45,R
13,Alabama,AL,Doctorate,2017,1139,58941,33.05,R
14,Alabama,AL,High School Grad,2017,18365,58941,25.4,R
15,Alabama,AL,Master's Degree,2017,3821,58941,31.95,R
16,Alabama,AL,Some College Credit,2017,13035,58941,26.85,R
17,Alabama,AL,Unknown,2017,147,58941,27.35,R
18,Alabama,AL,9th > 12th Grade,2018,6169,57761,24.3,R
19,Alabama,AL,> 8th Grade,2018,1856,57761,27.9,R
20,Alabama,AL,Associate Degree,2018,5034,57761,28.95,R
21,Alabama,AL,Bahcelor's Degree,2018,8833,57761,30.45,R
22,Alabama,AL,Doctorate,2018,1101,57761,33.25,R
23,Alabama,AL,High School Grad,2018,18306,57761,25.5,R
24,Alabama,AL,Master's Degree,2018,3857,57761,31.95,R
25,Alabama,AL,Some College Credit,2018,12493,57761,27.0,R
26,Alabama,AL,Unknown,2018,112,57761,27.25,R
27,Alabama,AL,9th > 12th Grade,2019,5855,58615,24.45,R
28,Alabama,AL,> 8th Grade,2019,2350,58615,27.85,R
29,Alabama,AL,Associate Degree,2019,5017,58615,28.95,R
30,Alabama,AL,Bahcelor's Degree,2019,8892,58615,30.45,R
31,Alabama,AL,Doctorate,2019,1056,58615,33.15,R
32,Alabama,AL,High School Grad,2019,18887,58615,25.55,R
33,Alabama,AL,Master's Degree,2019,3915,58615,32.0,R
34,Alabama,AL,Some College Credit,2019,12545,58615,27.1,R
35,Alabama,AL,Unknown,2019,98,58615,27.7,R
36,Alabama,AL,9th > 12th Grade,2020,5612,57647,24.65,R
37,Alabama,AL,> 8th Grade,2020,2294,57647,27.5,R
38,Alabama,AL,Associate Degree,2020,5096,57647,29.15,R
39,Alabama,AL,Bahcelor's Degree,2020,8850,57647,30.45,R
40,Alabama,AL,Doctorate,2020,1121,57647,33.25,R
41,Alabama,AL,High School Grad,2020,19011,57647,25.65,R
42,Alabama,AL,Master's Degree,2020,4076,57647,32.0,R
43,Alabama,AL,Some College Credit,2020,11508,57647,27.3,R
44,Alabama,AL,Unknown,2020,79,57647,30.0,R
45,Alabama,AL,9th > 12th Grade,2021,5240,58054,24.45,R
46,Alabama,AL,> 8th Grade,2021,2386,58054,27.75,R
47,Alabama,AL,Associate Degree,2021,5039,58054,29.1,R
48,Alabama,AL,Bahcelor's Degree,2021,9266,58054,30.45,R
49,Alabama,AL,Doctorate,2021,1220,58054,33.15,R
50,Alabama,AL,High School Grad,2021,19165,58054,25.8,R
51,Alabama,AL,Master's Degree,2021,4421,58054,31.85,R
52,Alabama,AL,Some College Credit,2021,11255,58054,27.5,R
53,Alabama,AL,Unknown,2021,62,58054,27.65,R
54,Alaska,AK,9th > 12th Grade,2016,1050,11209,24.4,I
55,Alaska,AK,> 8th Grade,2016,76,11209,28.2,I
56,Alaska,AK,Associate Degree,2016,906,11209,29.55,I
57,Alaska,AK,Bahcelor's Degree,2016,1848,11209,31.0,I
58,Alaska,AK,Doctorate,2016,187,11209,33.95,I
59,Alaska,AK,High School Grad,2016,3346,11209,26.15,I
60,Alaska,AK,Master's Degree,2016,719,11209,32.95,I
61,Alaska,AK,Some College Credit,2016,2911,11209,27.9,I
62,Alaska,AK,Unknown,2016,166,11209,29.5,I
63,Alaska,AK,9th > 12th Grade,2017,942,10445,24.3,I
64,Alaska,AK,> 8th Grade,2017,88,10445,28.1,I
65,Alaska,AK,Associate Degree,2017,844,10445,29.9,I
66,Alaska,AK,Bahcelor's Degree,2017,1722,10445,31.35,I
67,Alaska,AK,Doctorate,2017,185,10445,34.2,I
68,Alaska,AK,High School Grad,2017,3097,10445,26.55,I
69,Alaska,AK,Master's Degree,2017,688,10445,33.4,I
70,Alaska,AK,Some College Credit,2017,2723,10445,27.95,I
71,Alaska,AK,Unknown,2017,156,10445,29.2,I
72,Alaska,AK,9th > 12th Grade,2018,880,10086,24.9,I
73,Alaska,AK,> 8th Grade,2018,63,10086,28.45,I
74,Alaska,AK,Associate Degree,2018,838,10086,30.05,I
75,Alaska,AK,Bahcelor's Degree,2018,1737,10086,31.35,I
76,Alaska,AK,Doctorate,2018,209,10086,34.15,I
77,Alaska,AK,High School Grad,2018,3021,10086,26.5,I
78,Alaska,AK,Master's Degree,2018,643,10086,33.3,I
79,Alaska,AK,Some College Credit,2018,2556,10086,28.25,I
80,Alaska,AK,Unknown,2018,139,10086,29.2,I
81,Alaska,AK,9th > 12th Grade,2019,830,9822,25.15,R
82,Alaska,AK,> 8th Grade,2019,68,9822,29.8,R
83,Alaska,AK,Associate Degree,2019,776,9822,30.15,R
84,Alaska,AK,Bahcelor's Degree,2019,1675,9822,31.6,R
85,Alaska,AK,Doctorate,2019,221,9822,34.5,R
86,Alaska,AK,High School Grad,2019,3001,9822,26.75,R
87,Alaska,AK,Master's Degree,2019,636,9822,33.3,R
88,Alaska,AK,Some College Credit,2019,2446,9822,28.25,R
89,Alaska,AK,Unknown,2019,169,9822,29.0,R
90,Alaska,AK,9th > 12th Grade,2020,735,9469,25.9,R
91,Alaska,AK,> 8th Grade,2020,53,9469,29.05,R
92,Alaska,AK,Associate Degree,2020,813,9469,30.25,R
93,Alaska,AK,Bahcelor's Degree,2020,1579,9469,31.4,R
94,Alaska,AK,Doctorate,2020,230,9469,34.35,R
95,Alaska,AK,High School Grad,2020,2994,9469,26.7,R
96,Alaska,AK,Master's Degree,2020,612,9469,33.25,R
97,Alaska,AK,Some College Credit,2020,2300,9469,28.4,R
98,Alaska,AK,Unknown,2020,153,9469,28.6,R
99,Alaska,AK,9th > 12th Grade,2021,712,9367,24.85,R
100,Alaska,AK,> 8th Grade,2021,60,9367,29.35,R
101,Alaska,AK,Associate Degree,2021,752,9367,30.4,R
102,Alaska,AK,Bahcelor's Degree,2021,1697,9367,31.55,R
103,Alaska,AK,Doctorate,2021,219,9367,34.15,R
104,Alaska,AK,High School Grad,2021,2848,9367,26.8,R
105,Alaska,AK,Master's Degree,2021,654,9367,33.7,R
106,Alaska,AK,Some College Credit,2021,2257,9367,28.4,R
107,Alaska,AK,Unknown,2021,168,9367,29.3,R
108,Arizona,AZ,9th > 12th Grade,2016,12352,84520,24.85,R
109,Arizona,AZ,> 8th Grade,2016,2751,84520,29.6,R
110,Arizona,AZ,Associate Degree,2016,7173,84520,29.45,R
111,Arizona,AZ,Bahcelor's Degree,2016,13799,84520,31.1,R
112,Arizona,AZ,Doctorate,2016,1534,84520,33.55,R
113,Arizona,AZ,High School Grad,2016,21291,84520,26.2,R
114,Arizona,AZ,Master's Degree,2016,4984,84520,32.75,R
115,Arizona,AZ,Some College Credit,2016,20085,84520,27.65,R
116,Arizona,AZ,Unknown,2016,551,84520,27.9,R
117,Arizona,AZ,9th > 12th Grade,2017,11557,81872,24.9,R
118,Arizona,AZ,> 8th Grade,2017,2517,81872,29.65,R
119,Arizona,AZ,Associate Degree,2017,6756,81872,29.8,R
120,Arizona,AZ,Bahcelor's Degree,2017,13019,81872,31.2,R
121,Arizona,AZ,Doctorate,2017,1594,81872,33.6,R
122,Arizona,AZ,High School Grad,2017,21492,81872,26.35,R
123,Arizona,AZ,Master's Degree,2017,5141,81872,32.8,R
124,Arizona,AZ,Some College Credit,2017,19218,81872,27.85,R
125,Arizona,AZ,Unknown,2017,578,81872,28.75,R
126,Arizona,AZ,9th > 12th Grade,2018,11102,80723,25.0,R
127,Arizona,AZ,> 8th Grade,2018,2394,80723,29.5,R
128,Arizona,AZ,Associate Degree,2018,6887,80723,29.75,R
129,Arizona,AZ,Bahcelor's Degree,2018,13326,80723,31.2,R
130,Arizona,AZ,Doctorate,2018,1575,80723,33.9,R
131,Arizona,AZ,High School Grad,2018,21303,80723,26.5,R
132,Arizona,AZ,Master's Degree,2018,5111,80723,32.85,R
133,Arizona,AZ,Some College Credit,2018,18661,80723,28.05,R
134,Arizona,AZ,Unknown,2018,364,80723,28.55,R
135,Arizona,AZ,9th > 12th Grade,2019,10350,79375,25.1,R
136,Arizona,AZ,> 8th Grade,2019,2247,79375,29.7,R
137,Arizona,AZ,Associate Degree,2019,6803,79375,29.85,R
138,Arizona,AZ,Bahcelor's Degree,2019,13466,79375,31.2,R
139,Arizona,AZ,Doctorate,2019,1556,79375,34.05,R
140,Arizona,AZ,High School Grad,2019,21293,79375,26.6,R
141,Arizona,AZ,Master's Degree,2019,5073,79375,32.9,R
142,Arizona,AZ,Some College Credit,2019,18249,79375,28.2,R
143,Arizona,AZ,Unknown,2019,338,79375,28.75,R
144,Arizona,AZ,9th > 12th Grade,2020,9553,76947,25.2,R
145,Arizona,AZ,> 8th Grade,2020,1958,76947,29.5,R
146,Arizona,AZ,Associate Degree,2020,6703,76947,29.95,R
147,Arizona,AZ,Bahcelor's Degree,2020,13262,76947,31.25,R
148,Arizona,AZ,Doctorate,2020,1641,76947,33.95,R
149,Arizona,AZ,High School Grad,2020,20860,76947,26.7,R
150,Arizona,AZ,Master's Degree,2020,5026,76947,32.85,R
151,Arizona,AZ,Some College Credit,2020,17562,76947,28.4,R
152,Arizona,AZ,Unknown,2020,382,76947,29.2,R
153,Arizona,AZ,9th > 12th Grade,2021,9065,77916,25.3,R
154,Arizona,AZ,> 8th Grade,2021,1838,77916,29.4,R
155,Arizona,AZ,Associate Degree,2021,6807,77916,30.0,R
156,Arizona,AZ,Bahcelor's Degree,2021,14283,77916,31.2,R
157,Arizona,AZ,Doctorate,2021,1700,77916,34.2,R
158,Arizona,AZ,High School Grad,2021,21459,77916,26.9,R
159,Arizona,AZ,Master's Degree,2021,5313,77916,32.8,R
160,Arizona,AZ,Some College Credit,2021,17105,77916,28.55,R
161,Arizona,AZ,Unknown,2021,346,77916,28.95,R
162,Arkansas,AR,9th > 12th Grade,2016,4724,38274,23.9,R
163,Arkansas,AR,> 8th Grade,2016,928,38274,29.4,R
164,Arkansas,AR,Associate Degree,2016,2807,38274,28.4,R
165,Arkansas,AR,Bahcelor's Degree,2016,5530,38274,29.9,R
166,Arkansas,AR,Doctorate,2016,534,38274,32.55,R
167,Arkansas,AR,High School Grad,2016,12394,38274,25.1,R
168,Arkansas,AR,Master's Degree,2016,1961,38274,31.35,R
169,Arkansas,AR,Some College Credit,2016,9164,38274,26.5,R
170,Arkansas,AR,Unknown,2016,232,38274,27.0,R
171,Arkansas,AR,9th > 12th Grade,2017,4575,37520,24.1,R
172,Arkansas,AR,> 8th Grade,2017,872,37520,28.85,R
173,Arkansas,AR,Associate Degree,2017,2723,37520,28.45,R
174,Arkansas,AR,Bahcelor's Degree,2017,5356,37520,29.95,R
175,Arkansas,AR,Doctorate,2017,495,37520,32.4,R
176,Arkansas,AR,High School Grad,2017,12520,37520,25.25,R
177,Arkansas,AR,Master's Degree,2017,1948,37520,31.6,R
178,Arkansas,AR,Some College Credit,2017,8834,37520,26.65,R
179,Arkansas,AR,Unknown,2017,197,37520,27.65,R
180,Arkansas,AR,9th > 12th Grade,2018,4301,37018,24.2,R
181,Arkansas,AR,> 8th Grade,2018,860,37018,29.6,R
182,Arkansas,AR,Associate Degree,2018,2978,37018,28.4,R
183,Arkansas,AR,Bahcelor's Degree,2018,5291,37018,30.05,R
184,Arkansas,AR,Doctorate,2018,579,37018,32.5,R
185,Arkansas,AR,High School Grad,2018,11959,37018,25.2,R
186,Arkansas,AR,Master's Degree,2018,2187,37018,31.8,R
187,Arkansas,AR,Some College Credit,2018,8566,37018,26.75,R
188,Arkansas,AR,Unknown,2018,297,37018,27.7,R
189,Arkansas,AR,9th > 12th Grade,2019,3964,36564,24.2,R
190,Arkansas,AR,> 8th Grade,2019,799,36564,29.4,R
191,Arkansas,AR,Associate Degree,2019,2889,36564,28.5,R
192,Arkansas,AR,Bahcelor's Degree,2019,5265,36564,30.05,R
193,Arkansas,AR,Doctorate,2019,549,36564,32.85,R
194,Arkansas,AR,High School Grad,2019,12227,36564,25.3,R
195,Arkansas,AR,Master's Degree,2019,2244,36564,31.55,R
196,Arkansas,AR,Some College Credit,2019,8350,36564,26.9,R
197,Arkansas,AR,Unknown,2019,277,36564,26.85,R
198,Arkansas,AR,9th > 12th Grade,2020,3672,35251,24.25,R
199,Arkansas,AR,> 8th Grade,2020,823,35251,29.4,R
200,Arkansas,AR,Associate Degree,2020,2940,35251,28.6,R
201,Arkansas,AR,Bahcelor's Degree,2020,5200,35251,30.05,R
202,Arkansas,AR,Doctorate,2020,597,35251,32.65,R
203,Arkansas,AR,High School Grad,2020,11853,35251,25.4,R
204,Arkansas,AR,Master's Degree,2020,2185,35251,31.55,R
205,Arkansas,AR,Some College Credit,2020,7666,35251,27.05,R
206,Arkansas,AR,Unknown,2020,315,35251,26.7,R
207,Arkansas,AR,9th > 12th Grade,2021,3507,35965,24.5,R
208,Arkansas,AR,> 8th Grade,2021,784,35965,29.25,R
209,Arkansas,AR,Associate Degree,2021,3057,35965,28.7,R
210,Arkansas,AR,Bahcelor's Degree,2021,5540,35965,30.0,R
211,Arkansas,AR,Doctorate,2021,688,35965,32.9,R
212,Arkansas,AR,High School Grad,2021,12079,35965,25.45,R
213,Arkansas,AR,Master's Degree,2021,2512,35965,31.7,R
214,Arkansas,AR,Some College Credit,2021,7419,35965,27.05,R
215,Arkansas,AR,Unknown,2021,379,35965,28.3,R
216,California,CA,9th > 12th Grade,2016,48019,488827,26.6,D
217,California,CA,> 8th Grade,2016,20226,488827,31.4,D
218,California,CA,Associate Degree,2016,31795,488827,30.45,D
219,California,CA,Bahcelor's Degree,2016,94066,488827,32.25,D
220,California,CA,Doctorate,2016,13783,488827,34.65,D
221,California,CA,High School Grad,2016,117402,488827,27.1,D
222,California,CA,Master's Degree,2016,41680,488827,33.4,D
223,California,CA,Some College Credit,2016,96498,488827,28.4,D
224,California,CA,Unknown,2016,25358,488827,30.6,D
225,California,CA,9th > 12th Grade,2017,43176,471658,26.95,D
226,California,CA,> 8th Grade,2017,18261,471658,31.35,D
227,California,CA,Associate Degree,2017,30847,471658,30.55,D
228,California,CA,Bahcelor's Degree,2017,94168,471658,32.4,D
229,California,CA,Doctorate,2017,13703,471658,34.75,D
230,California,CA,High School Grad,2017,112979,471658,27.2,D
231,California,CA,Master's Degree,2017,41456,471658,33.55,D
232,California,CA,Some College Credit,2017,93242,471658,28.6,D
233,California,CA,Unknown,2017,23826,471658,30.95,D
234,California,CA,9th > 12th Grade,2018,38844,454920,27.2,D
235,California,CA,> 8th Grade,2018,16717,454920,31.35,D
236,California,CA,Associate Degree,2018,29872,454920,30.7,D
237,California,CA,Bahcelor's Degree,2018,92001,454920,32.5,D
238,California,CA,Doctorate,2018,13912,454920,34.8,D
239,California,CA,High School Grad,2018,108536,454920,27.4,D
240,California,CA,Master's Degree,2018,41821,454920,33.65,D
241,California,CA,Some College Credit,2018,88705,454920,28.8,D
242,California,CA,Unknown,2018,24512,454920,31.05,D
243,California,CA,9th > 12th Grade,2019,35283,446479,27.4,D
244,California,CA,> 8th Grade,2019,14910,446479,31.2,D
245,California,CA,Associate Degree,2019,29852,446479,30.75,D
246,California,CA,Bahcelor's Degree,2019,91537,446479,32.55,D
247,California,CA,Doctorate,2019,14070,446479,34.85,D
248,California,CA,High School Grad,2019,105388,446479,27.5,D
249,California,CA,Master's Degree,2019,42057,446479,33.7,D
250,California,CA,Some College Credit,2019,85435,446479,28.95,D
251,California,CA,Unknown,2019,27947,446479,31.15,D
252,California,CA,9th > 12th Grade,2020,31227,420259,27.55,D
253,California,CA,> 8th Grade,2020,13407,420259,31.25,D
254,California,CA,Associate Degree,2020,28365,420259,30.8,D
255,California,CA,Bahcelor's Degree,2020,86356,420259,32.6,D
256,California,CA,Doctorate,2020,13535,420259,34.9,D
257,California,CA,High School Grad,2020,99814,420259,27.65,D
258,California,CA,Master's Degree,2020,40136,420259,33.8,D
259,California,CA,Some College Credit,2020,78868,420259,29.1,D
260,California,CA,Unknown,2020,28551,420259,31.05,D
261,California,CA,9th > 12th Grade,2021,27491,420608,27.65,D
262,California,CA,> 8th Grade,2021,12510,420608,31.0,D
263,California,CA,Associate Degree,2021,28866,420608,30.85,D
264,California,CA,Bahcelor's Degree,2021,88077,420608,32.65,D
265,California,CA,Doctorate,2021,14585,420608,35.05,D
266,California,CA,High School Grad,2021,99304,420608,27.75,D
267,California,CA,Master's Degree,2021,41662,420608,33.85,D
268,California,CA,Some College Credit,2021,76913,420608,29.3,D
269,California,CA,Unknown,2021,31200,420608,31.05,D
270,Colorado,CO,9th > 12th Grade,2016,6082,66613,25.05,D
271,Colorado,CO,> 8th Grade,2016,1646,66613,30.55,D
272,Colorado,CO,Associate Degree,2016,5378,66613,29.8,D
273,Colorado,CO,Bahcelor's Degree,2016,16426,66613,31.65,D
274,Colorado,CO,Doctorate,2016,2011,66613,34.15,D
275,Colorado,CO,High School Grad,2016,13208,66613,26.35,D
276,Colorado,CO,Master's Degree,2016,6976,66613,33.25,D
277,Colorado,CO,Some College Credit,2016,14136,66613,27.85,D
278,Colorado,CO,Unknown,2016,750,66613,29.7,D
279,Colorado,CO,9th > 12th Grade,2017,5716,64382,25.3,D
280,Colorado,CO,> 8th Grade,2017,1647,64382,30.55,D
281,Colorado,CO,Associate Degree,2017,5223,64382,29.9,D
282,Colorado,CO,Bahcelor's Degree,2017,15743,64382,31.8,D
283,Colorado,CO,Doctorate,2017,2022,64382,34.3,D
284,Colorado,CO,High School Grad,2017,12697,64382,26.25,D
285,Colorado,CO,Master's Degree,2017,7057,64382,33.35,D
286,Colorado,CO,Some College Credit,2017,13381,64382,28.0,D
287,Colorado,CO,Unknown,2017,896,64382,29.65,D
288,Colorado,CO,9th > 12th Grade,2018,5291,62885,25.35,D
289,Colorado,CO,> 8th Grade,2018,1465,62885,30.55,D
290,Colorado,CO,Associate Degree,2018,4914,62885,30.15,D
291,Colorado,CO,Bahcelor's Degree,2018,15574,62885,31.85,D
292,Colorado,CO,Doctorate,2018,2050,62885,34.4,D
293,Colorado,CO,High School Grad,2018,12506,62885,26.5,D
294,Colorado,CO,Master's Degree,2018,7031,62885,33.4,D
295,Colorado,CO,Some College Credit,2018,13177,62885,28.1,D
296,Colorado,CO,Unknown,2018,877,62885,29.55,D
297,Colorado,CO,9th > 12th Grade,2019,5144,62869,25.45,D
298,Colorado,CO,> 8th Grade,2019,1504,62869,30.35,D
299,Colorado,CO,Associate Degree,2019,4991,62869,30.15,D
300,Colorado,CO,Bahcelor's Degree,2019,15825,62869,32.0,D
301,Colorado,CO,Doctorate,2019,2105,62869,34.5,D
302,Colorado,CO,High School Grad,2019,12598,62869,26.45,D
303,Colorado,CO,Master's Degree,2019,7217,62869,33.5,D
304,Colorado,CO,Some College Credit,2019,12669,62869,28.25,D
305,Colorado,CO,Unknown,2019,816,62869,29.7,D
306,Colorado,CO,9th > 12th Grade,2020,4809,61494,25.5,D
307,Colorado,CO,> 8th Grade,2020,1503,61494,30.35,D
308,Colorado,CO,Associate Degree,2020,4758,61494,30.15,D
309,Colorado,CO,Bahcelor's Degree,2020,15758,61494,32.0,D
310,Colorado,CO,Doctorate,2020,2150,61494,34.45,D
311,Colorado,CO,High School Grad,2020,12544,61494,26.6,D
312,Colorado,CO,Master's Degree,2020,7337,61494,33.45,D
313,Colorado,CO,Some College Credit,2020,12034,61494,28.45,D
314,Colorado,CO,Unknown,2020,601,61494,29.65,D
315,Colorado,CO,9th > 12th Grade,2021,4567,62949,25.45,D
316,Colorado,CO,> 8th Grade,2021,1377,62949,30.0,D
317,Colorado,CO,Associate Degree,2021,4722,62949,30.05,D
318,Colorado,CO,Bahcelor's Degree,2021,16975,62949,32.25,D
319,Colorado,CO,Doctorate,2021,2357,62949,34.5,D
320,Colorado,CO,High School Grad,2021,12443,62949,26.7,D
321,Colorado,CO,Master's Degree,2021,7864,62949,33.65,D
322,Colorado,CO,Some College Credit,2021,11943,62949,28.55,D
323,Colorado,CO,Unknown,2021,701,62949,29.95,D
324,Connecticut,CT,9th > 12th Grade,2016,2805,36015,26.15,D
325,Connecticut,CT,> 8th Grade,2016,812,36015,29.95,D
326,Connecticut,CT,Associate Degree,2016,3188,36015,30.5,D
327,Connecticut,CT,Bahcelor's Degree,2016,8460,36015,32.15,D
328,Connecticut,CT,Doctorate,2016,1414,36015,34.25,D
329,Connecticut,CT,High School Grad,2016,6688,36015,27.65,D
330,Connecticut,CT,Master's Degree,2016,6110,36015,33.05,D
331,Connecticut,CT,Some College Credit,2016,6422,36015,28.7,D
332,Connecticut,CT,Unknown,2016,116,36015,31.45,D
333,Connecticut,CT,9th > 12th Grade,2017,2732,35221,26.15,D
334,Connecticut,CT,> 8th Grade,2017,842,35221,30.45,D
335,Connecticut,CT,Associate Degree,2017,3162,35221,30.75,D
336,Connecticut,CT,Bahcelor's Degree,2017,8226,35221,32.2,D
337,Connecticut,CT,Doctorate,2017,1444,35221,34.3,D
338,Connecticut,CT,High School Grad,2017,6390,35221,27.6,D
339,Connecticut,CT,Master's Degree,2017,5961,35221,33.2,D
340,Connecticut,CT,Some College Credit,2017,6371,35221,28.9,D
341,Connecticut,CT,Unknown,2017,93,35221,30.3,D
342,Connecticut,CT,9th > 12th Grade,2018,2484,34725,26.3,D
343,Connecticut,CT,> 8th Grade,2018,766,34725,31.0,D
344,Connecticut,CT,Associate Degree,2018,3126,34725,30.7,D
345,Connecticut,CT,Bahcelor's Degree,2018,8200,34725,32.25,D
346,Connecticut,CT,Doctorate,2018,1456,34725,34.25,D
347,Connecticut,CT,High School Grad,2018,6587,34725,27.9,D
348,Connecticut,CT,Master's Degree,2018,5961,34725,33.25,D
349,Connecticut,CT,Some College Credit,2018,6078,34725,28.9,D
350,Connecticut,CT,Unknown,2018,67,34725,29.0,D
351,Connecticut,CT,9th > 12th Grade,2019,2393,34258,26.45,D
352,Connecticut,CT,> 8th Grade,2019,729,34258,30.65,D
353,Connecticut,CT,Associate Degree,2019,3142,34258,30.9,D
354,Connecticut,CT,Bahcelor's Degree,2019,8101,34258,32.35,D
355,Connecticut,CT,Doctorate,2019,1508,34258,34.3,D
356,Connecticut,CT,High School Grad,2019,6437,34258,27.95,D
357,Connecticut,CT,Master's Degree,2019,5936,34258,33.35,D
358,Connecticut,CT,Some College Credit,2019,5946,34258,29.1,D
359,Connecticut,CT,Unknown,2019,66,34258,28.25,D
360,Connecticut,CT,9th > 12th Grade,2020,2297,33460,26.6,D
361,Connecticut,CT,> 8th Grade,2020,780,33460,30.95,D
362,Connecticut,CT,Associate Degree,2020,2894,33460,30.8,D
363,Connecticut,CT,Bahcelor's Degree,2020,8042,33460,32.45,D
364,Connecticut,CT,Doctorate,2020,1465,33460,34.45,D
365,Connecticut,CT,High School Grad,2020,6570,33460,27.95,D
366,Connecticut,CT,Master's Degree,2020,5830,33460,33.4,D
367,Connecticut,CT,Some College Credit,2020,5525,33460,29.25,D
368,Connecticut,CT,Unknown,2020,57,33460,30.1,D
369,Connecticut,CT,9th > 12th Grade,2021,2256,35670,26.6,D
370,Connecticut,CT,> 8th Grade,2021,823,35670,30.5,D
371,Connecticut,CT,Associate Degree,2021,2959,35670,31.15,D
372,Connecticut,CT,Bahcelor's Degree,2021,9074,35670,32.6,D
373,Connecticut,CT,Doctorate,2021,1586,35670,34.35,D
374,Connecticut,CT,High School Grad,2021,6563,35670,27.95,D
375,Connecticut,CT,Master's Degree,2021,6590,35670,33.55,D
376,Connecticut,CT,Some College Credit,2021,5778,35670,29.6,D
377,Connecticut,CT,Unknown,2021,41,35670,29.9,D
378,Delaware,DE,9th > 12th Grade,2016,1089,10992,24.95,D
379,Delaware,DE,> 8th Grade,2016,573,10992,29.1,D
380,Delaware,DE,Associate Degree,2016,732,10992,30.2,D
381,Delaware,DE,Bahcelor's Degree,2016,2056,10992,31.2,D
382,Delaware,DE,Doctorate,2016,296,10992,33.8,D
383,Delaware,DE,High School Grad,2016,2959,10992,26.6,D
384,Delaware,DE,Master's Degree,2016,1140,10992,32.35,D
385,Delaware,DE,Some College Credit,2016,2088,10992,27.8,D
386,Delaware,DE,Unknown,2016,59,10992,28.5,D
387,Delaware,DE,9th > 12th Grade,2017,1043,10855,25.05,D
388,Delaware,DE,> 8th Grade,2017,537,10855,29.1,D
389,Delaware,DE,Associate Degree,2017,778,10855,29.85,D
390,Delaware,DE,Bahcelor's Degree,2017,1944,10855,31.25,D
391,Delaware,DE,Doctorate,2017,238,10855,33.45,D
392,Delaware,DE,High School Grad,2017,2916,10855,26.75,D
393,Delaware,DE,Master's Degree,2017,1202,10855,32.35,D
394,Delaware,DE,Some College Credit,2017,2151,10855,28.15,D
395,Delaware,DE,Unknown,2017,46,10855,28.85,D
396,Delaware,DE,9th > 12th Grade,2018,1048,10621,25.45,D
397,Delaware,DE,> 8th Grade,2018,461,10621,29.55,D
398,Delaware,DE,Associate Degree,2018,740,10621,30.5,D
399,Delaware,DE,Bahcelor's Degree,2018,1959,10621,31.45,D
400,Delaware,DE,Doctorate,2018,253,10621,33.8,D
401,Delaware,DE,High School Grad,2018,2824,10621,26.8,D
402,Delaware,DE,Master's Degree,2018,1144,10621,32.75,D
403,Delaware,DE,Some College Credit,2018,2127,10621,28.2,D
404,Delaware,DE,Unknown,2018,65,10621,28.2,D
405,Delaware,DE,9th > 12th Grade,2019,923,10562,25.55,D
406,Delaware,DE,> 8th Grade,2019,474,10562,29.85,D
407,Delaware,DE,Associate Degree,2019,750,10562,30.35,D
408,Delaware,DE,Bahcelor's Degree,2019,2009,10562,31.5,D
409,Delaware,DE,Doctorate,2019,286,10562,33.45,D
410,Delaware,DE,High School Grad,2019,2874,10562,26.95,D
411,Delaware,DE,Master's Degree,2019,1165,10562,32.7,D
412,Delaware,DE,Some College Credit,2019,1997,10562,28.4,D
413,Delaware,DE,Unknown,2019,84,10562,28.7,D
414,Delaware,DE,9th > 12th Grade,2020,844,10392,25.9,D
415,Delaware,DE,> 8th Grade,2020,509,10392,29.35,D
416,Delaware,DE,Associate Degree,2020,746,10392,30.5,D
417,Delaware,DE,Bahcelor's Degree,2020,1856,10392,31.55,D
418,Delaware,DE,Doctorate,2020,268,10392,34.25,D
419,Delaware,DE,High School Grad,2020,2802,10392,26.95,D
420,Delaware,DE,Master's Degree,2020,1138,10392,32.75,D
421,Delaware,DE,Some College Credit,2020,2016,10392,28.7,D
422,Delaware,DE,Unknown,2020,213,10392,30.25,D
423,Delaware,DE,9th > 12th Grade,2021,795,10482,25.85,D
424,Delaware,DE,> 8th Grade,2021,515,10482,28.4,D
425,Delaware,DE,Associate Degree,2021,805,10482,30.4,D
426,Delaware,DE,Bahcelor's Degree,2021,2078,10482,31.65,D
427,Delaware,DE,Doctorate,2021,244,10482,33.95,D
428,Delaware,DE,High School Grad,2021,2753,10482,27.05,D
429,Delaware,DE,Master's Degree,2021,1219,10482,33.1,D
430,Delaware,DE,Some College Credit,2021,1818,10482,28.7,D
431,Delaware,DE,Unknown,2021,255,10482,29.45,D
432,Florida,FL,9th > 12th Grade,2016,20862,225022,25.0,R
