State,State Abbreviation,Education Level of Mother,Year,Number of Births,Total Births in State,Average Age of Mother (years)
Washington,WA,Associate Degree,2017,8512,87562,30.1
Washington,WA,Bahcelor's Degree,2017,18820,87562,31.8
Washington,WA,Doctorate,2017,2627,87562,34.35
Washington,WA,High School Grad,2017,18739,87562,27
Washington,WA,Master's Degree,2017,8392,87562,33.1
Washington,WA,Some College Credit,2017,19479,87562,28.5
Washington,WA,Unknown,2017,1319,87562,30.4
Washington,WA,9th > 12th Grade,2018,7075,86085,25.75
Washington,WA,> 8th Grade,2018,2010,86085,31.2
Washington,WA,Associate Degree,2018,8481,86085,30.2
Washington,WA,Bahcelor's Degree,2018,18824,86085,31.9
Washington,WA,Doctorate,2018,2540,86085,34.55
Washington,WA,High School Grad,2018,18640,86085,27.15
Washington,WA,Master's Degree,2018,8434,86085,33.2
Washington,WA,Some College Credit,2018,18566,86085,28.7
Washington,WA,Unknown,2018,1515,86085,30.5
Washington,WA,9th > 12th Grade,2019,6641,84895,25.9
Washington,WA,> 8th Grade,2019,1810,84895,30.8
Washington,WA,Associate Degree,2019,8234,84895,30.25
Washington,WA,Bahcelor's Degree,2019,18544,84895,31.95
Washington,WA,Doctorate,2019,2516,84895,34.55
Washington,WA,High School Grad,2019,18217,84895,27.15
Washington,WA,Master's Degree,2019,8745,84895,33.35
Washington,WA,Some College Credit,2019,18294,84895,28.75
Washington,WA,Unknown,2019,1894,84895,30.25
Washington,WA,9th > 12th Grade,2020,6308,83086,26
Washington,WA,> 8th Grade,2020,1671,83086,30.9
Washington,WA,Associate Degree,2020,7938,83086,30.25
Washington,WA,Bahcelor's Degree,2020,18233,83086,31.95
Washington,WA,Doctorate,2020,2591,83086,34.6
Washington,WA,High School Grad,2020,17930,83086,27.45
Washington,WA,Master's Degree,2020,9090,83086,33.35
Washington,WA,Some College Credit,2020,17369,83086,29
Washington,WA,Unknown,2020,1956,83086,30.25
Washington,WA,9th > 12th Grade,2021,5705,83911,25.95
Washington,WA,> 8th Grade,2021,1588,83911,31.15
Washington,WA,Associate Degree,2021,8012,83911,30.35
Washington,WA,Bahcelor's Degree,2021,19063,83911,32.1
Washington,WA,Doctorate,2021,2721,83911,34.85
Washington,WA,High School Grad,2021,17267,83911,27.4
Washington,WA,Master's Degree,2021,9692,83911,33.4
Washington,WA,Some College Credit,2021,16960,83911,29.1
Washington,WA,Unknown,2021,2903,83911,30.35
West Virginia,WV,9th > 12th Grade,2016,2459,19079,23.25
West Virginia,WV,> 8th Grade,2016,212,19079,25.5
West Virginia,WV,Associate Degree,2016,1868,19079,28.8
West Virginia,WV,Bahcelor's Degree,2016,2713,19079,30.1
West Virginia,WV,Doctorate,2016,388,19079,32.55
West Virginia,WV,High School Grad,2016,5985,19079,25.1
West Virginia,WV,Master's Degree,2016,1156,19079,31.6
West Virginia,WV,Some College Credit,2016,4200,19079,26.8
West Virginia,WV,Unknown,2016,98,19079,29.7
West Virginia,WV,9th > 12th Grade,2017,2216,18675,23.65
West Virginia,WV,> 8th Grade,2017,212,18675,26
West Virginia,WV,Associate Degree,2017,1818,18675,28.7
West Virginia,WV,Bahcelor's Degree,2017,2592,18675,30.1
West Virginia,WV,Doctorate,2017,407,18675,32.95
West Virginia,WV,High School Grad,2017,5989,18675,25.15
West Virginia,WV,Master's Degree,2017,1246,18675,31.8
West Virginia,WV,Some College Credit,2017,4111,18675,26.8
West Virginia,WV,Unknown,2017,84,18675,29.05
West Virginia,WV,9th > 12th Grade,2018,2143,18248,23.65
West Virginia,WV,> 8th Grade,2018,190,18248,26.35
West Virginia,WV,Associate Degree,2018,1856,18248,28.8
West Virginia,WV,Bahcelor's Degree,2018,2525,18248,30.3
West Virginia,WV,Doctorate,2018,386,18248,33.1
West Virginia,WV,High School Grad,2018,5905,18248,25.2
West Virginia,WV,Master's Degree,2018,1167,18248,31.95
West Virginia,WV,Some College Credit,2018,3978,18248,27.05
West Virginia,WV,Unknown,2018,98,18248,30.95
West Virginia,WV,9th > 12th Grade,2019,2076,18136,23.75
West Virginia,WV,> 8th Grade,2019,169,18136,25.9
West Virginia,WV,Associate Degree,2019,1816,18136,28.8
West Virginia,WV,Bahcelor's Degree,2019,2619,18136,30.15
West Virginia,WV,Doctorate,2019,374,18136,33.1
West Virginia,WV,High School Grad,2019,6161,18136,25.4
West Virginia,WV,Master's Degree,2019,1117,18136,31.9
West Virginia,WV,Some College Credit,2019,3768,18136,27.35
West Virginia,WV,Unknown,2019,36,18136,32.45
West Virginia,WV,9th > 12th Grade,2020,1891,17323,23.95
West Virginia,WV,> 8th Grade,2020,183,17323,25.6
West Virginia,WV,Associate Degree,2020,1755,17323,28.85
West Virginia,WV,Bahcelor's Degree,2020,2501,17323,30.05
West Virginia,WV,Doctorate,2020,401,17323,33.15
West Virginia,WV,High School Grad,2020,5752,17323,25.5
West Virginia,WV,Master's Degree,2020,1165,17323,31.9
West Virginia,WV,Some College Credit,2020,3561,17323,27.35
West Virginia,WV,Unknown,2020,114,17323,31.1
West Virginia,WV,9th > 12th Grade,2021,1765,17198,24.1
West Virginia,WV,> 8th Grade,2021,170,17198,26.35
West Virginia,WV,Associate Degree,2021,1776,17198,28.8
West Virginia,WV,Bahcelor's Degree,2021,2588,17198,30.15
West Virginia,WV,Doctorate,2021,402,17198,32.9
West Virginia,WV,High School Grad,2021,5701,17198,25.4
West Virginia,WV,Master's Degree,2021,1238,17198,31.9
West Virginia,WV,Some College Credit,2021,3479,17198,27.35
West Virginia,WV,Unknown,2021,79,17198,32.1
Wisconsin,WI,9th > 12th Grade,2016,4652,66615,24.6
Wisconsin,WI,> 8th Grade,2016,2353,66615,29.65
Wisconsin,WI,Associate Degree,2016,7380,66615,30.05
Wisconsin,WI,Bahcelor's Degree,2016,15927,66615,30.95
Wisconsin,WI,Doctorate,2016,1750,66615,33.1
Wisconsin,WI,High School Grad,2016,16058,66615,26.25
Wisconsin,WI,Master's Degree,2016,5506,66615,32.55
Wisconsin,WI,Some College Credit,2016,12661,66615,28
Wisconsin,WI,Unknown,2016,328,66615,28.35
Wisconsin,WI,9th > 12th Grade,2017,4477,64975,24.65
Wisconsin,WI,> 8th Grade,2017,2282,64975,29.6
Wisconsin,WI,Associate Degree,2017,7227,64975,30.1
Wisconsin,WI,Bahcelor's Degree,2017,15763,64975,31
Wisconsin,WI,Doctorate,2017,1673,64975,33.25
Wisconsin,WI,High School Grad,2017,15976,64975,26.4
Wisconsin,WI,Master's Degree,2017,5338,64975,32.65
Wisconsin,WI,Some College Credit,2017,11901,64975,28.2
Wisconsin,WI,Unknown,2017,338,64975,28.5
Wisconsin,WI,9th > 12th Grade,2018,4275,64098,24.8
Wisconsin,WI,> 8th Grade,2018,2271,64098,29.6
Wisconsin,WI,Associate Degree,2018,7083,64098,30.35
Wisconsin,WI,Bahcelor's Degree,2018,15717,64098,31.2
Wisconsin,WI,Doctorate,2018,1704,64098,33.35
Wisconsin,WI,High School Grad,2018,16035,64098,26.55
Wisconsin,WI,Master's Degree,2018,5345,64098,32.8
Wisconsin,WI,Some College Credit,2018,11284,64098,28.4
Wisconsin,WI,Unknown,2018,384,64098,28.9
Wisconsin,WI,9th > 12th Grade,2019,4039,63270,24.95
Wisconsin,WI,> 8th Grade,2019,2277,63270,29.35
Wisconsin,WI,Associate Degree,2019,6854,63270,30.4
Wisconsin,WI,Bahcelor's Degree,2019,15756,63270,31.2
Wisconsin,WI,Doctorate,2019,1730,63270,33.6
Wisconsin,WI,High School Grad,2019,15792,63270,26.6
Wisconsin,WI,Master's Degree,2019,5407,63270,32.75
Wisconsin,WI,Some College Credit,2019,10985,63270,28.55
Wisconsin,WI,Unknown,2019,430,63270,28.75
Wisconsin,WI,9th > 12th Grade,2020,3761,60594,25.05
Wisconsin,WI,> 8th Grade,2020,2229,60594,29.6
Wisconsin,WI,Associate Degree,2020,6539,60594,30.45
Wisconsin,WI,Bahcelor's Degree,2020,15369,60594,31.25
Wisconsin,WI,Doctorate,2020,1733,60594,33.4
Wisconsin,WI,High School Grad,2020,15101,60594,26.7
Wisconsin,WI,Master's Degree,2020,5184,60594,32.65
Wisconsin,WI,Some College Credit,2020,10229,60594,28.8
Wisconsin,WI,Unknown,2020,449,60594,28.7
Wisconsin,WI,9th > 12th Grade,2021,3449,61781,25.1
Wisconsin,WI,> 8th Grade,2021,2315,61781,29.3
Wisconsin,WI,Associate Degree,2021,6739,61781,30.5
Wisconsin,WI,Bahcelor's Degree,2021,16182,61781,31.3
Wisconsin,WI,Doctorate,2021,1891,61781,33.4
Wisconsin,WI,High School Grad,2021,15075,61781,26.95
Wisconsin,WI,Master's Degree,2021,5667,61781,32.65
Wisconsin,WI,Some College Credit,2021,10031,61781,28.9
Wisconsin,WI,Unknown,2021,432,61781,28.65
Wyoming,WY,9th > 12th Grade,2016,698,7386,23.6
Wyoming,WY,> 8th Grade,2016,90,7386,28.4
Wyoming,WY,Associate Degree,2016,831,7386,28.85
Wyoming,WY,Bahcelor's Degree,2016,1380,7386,30.55
Wyoming,WY,Doctorate,2016,139,7386,33.1
Wyoming,WY,High School Grad,2016,1767,7386,25.55
Wyoming,WY,Master's Degree,2016,499,7386,32.4
Wyoming,WY,Some College Credit,2016,1902,7386,27.1
Wyoming,WY,Unknown,2016,80,7386,29.85
Wyoming,WY,9th > 12th Grade,2017,606,6903,24
Wyoming,WY,> 8th Grade,2017,80,6903,28.4
Wyoming,WY,Associate Degree,2017,848,6903,29
Wyoming,WY,Bahcelor's Degree,2017,1296,6903,30.55
Wyoming,WY,Doctorate,2017,111,6903,33.1
Wyoming,WY,High School Grad,2017,1673,6903,25.5
Wyoming,WY,Master's Degree,2017,490,6903,32.3
Wyoming,WY,Some College Credit,2017,1749,6903,27.35
Wyoming,WY,Unknown,2017,50,6903,28
Wyoming,WY,9th > 12th Grade,2018,555,6562,24.2
Wyoming,WY,> 8th Grade,2018,80,6562,29.85
Wyoming,WY,Associate Degree,2018,766,6562,29.05
Wyoming,WY,Bahcelor's Degree,2018,1175,6562,30.7
Wyoming,WY,Doctorate,2018,133,6562,33.65
Wyoming,WY,High School Grad,2018,1592,6562,25.65
Wyoming,WY,Master's Degree,2018,467,6562,32.75
Wyoming,WY,Some College Credit,2018,1706,6562,27.4
Wyoming,WY,Unknown,2018,88,6562,29.55
Wyoming,WY,9th > 12th Grade,2019,556,6565,24.2
Wyoming,WY,> 8th Grade,2019,59,6565,29.75
Wyoming,WY,Associate Degree,2019,814,6565,29.35
Wyoming,WY,Bahcelor's Degree,2019,1211,6565,30.9
Wyoming,WY,Doctorate,2019,146,6565,33.2
Wyoming,WY,High School Grad,2019,1637,6565,25.55
Wyoming,WY,Master's Degree,2019,503,6565,32.9
Wyoming,WY,Some College Credit,2019,1580,6565,27.25
Wyoming,WY,Unknown,2019,59,6565,30.35
Wyoming,WY,9th > 12th Grade,2020,498,6128,23.8
Wyoming,WY,> 8th Grade,2020,63,6128,28.05
Wyoming,WY,Associate Degree,2020,710,6128,29.35
Wyoming,WY,Bahcelor's Degree,2020,1189,6128,30.75
Wyoming,WY,Doctorate,2020,109,6128,33.4
Wyoming,WY,High School Grad,2020,1542,6128,25.75
Wyoming,WY,Master's Degree,2020,445,6128,32.55
Wyoming,WY,Some College Credit,2020,1514,6128,27.5
Wyoming,WY,Unknown,2020,58,6128,29.45
Wyoming,WY,9th > 12th Grade,2021,487,6237,23.65
Wyoming,WY,> 8th Grade,2021,69,6237,28.5
Wyoming,WY,Associate Degree,2021,760,6237,29.15
Wyoming,WY,Bahcelor's Degree,2021,1258,6237,31.05
Wyoming,WY,Doctorate,2021,137,6237,33.45
Wyoming,WY,High School Grad,2021,1483,6237,25.95
Wyoming,WY,Master's Degree,2021,471,6237,32.75
Wyoming,WY,Some College Credit,2021,1491,6237,27.45
Wyoming,WY,Unknown,2021,81,6237,29.6
